Step (Just before step k),Manhattan Distance
1,8.0
2,8
3,7
4,6
5,6
6,5
7,5
8,5
9,5
10,4
11,3
12,2
13,2
14,3
15,4
16,4
17,5
18,4
19,5
20,5
21,5
22,4
23,4
24,5
25,5
26,4
27,5
28,4
29,4
30,4
31,4
32,3
33,2
34,3
35,4
36,3
37,4
38,4
39,5
40,5
41,5
42,4
43,4
44,5
45,5
46,5
47,5
48,5
49,5
50,4
51,4
52,4
53,4
54,5
55,4
56,4
57,4
58,3
59,4
60,3
61,3
62,2
63,1
64,1
65,2
66,3
67,3
68,4
69,4
70,4
71,4
72,4
73,3
74,3
75,2
76,3
77,3
78,3
79,3
80,4
81,5
82,5
83,5
84,5
85,5
86,4
87,5
88,5
89,5
90,4
91,3
92,2
93,1
94,2
95,3
96,4
97,5
98,5
99,5
100,5
101,5
102,5
103,4
104,4
105,4
106,4
107,3
108,3
109,4
110,5
111,5
112,4
113,4
114,4
115,4
116,3
117,4
118,3
119,4
120,4
121,5
122,4
123,4
124,4
125,4
126,4
127,4
128,5
129,5
130,4
131,3
132,2
133,2
134,3
135,3
136,4
137,3
138,2
139,1
140,2
141,1
142,1
143,2
144,3
145,2
146,3
147,4
148,3
149,3
150,3
151,2
152,3
153,3
154,3
155,3
156,4
157,4
158,4
159,4
160,5
161,6
162,6
163,7
164,6
165,5
166,6
167,6
168,7
169,6
170,6
171,6
172,7
173,6
174,5
175,6
176,5
177,6
178,6
179,7
180,7
181,7
182,6
183,6
184,6
185,5
186,5
187,5
188,6
189,6
190,7
191,7
192,7
193,7
194,6
195,6
196,6
197,6
198,6
199,7
200,7
201,6
202,6
203,6
204,6
205,7
206,7
207,7
208,7
209,7
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,7
218,7
219,7
220,7
221,6
222,7
223,6
224,6
225,5
226,5
227,5
228,6
229,6
230,5
231,5
232,6
233,5
234,6
235,7
236,7
237,7
238,6
239,6
240,6
241,5
242,6
243,6
244,6
245,6
246,6
247,7
248,7
249,7
250,7
251,7
252,6
253,7
254,7
255,7
256,7
257,7
258,7
259,6
260,5
261,6
262,6
263,6
264,6
265,5
266,6
267,5
268,5
269,6
270,6
271,6
272,6
273,6
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,7
282,7
283,7
284,7
285,6
286,7
287,6
288,6
289,7
290,7
291,7
292,7
293,7
294,7
295,6
296,5
297,6
298,5
299,6
300,7
301,7
302,7
303,7
304,7
305,7
306,7
307,6
308,7
309,7
310,6
311,6
312,5
313,5
314,6
315,6
316,6
317,5
318,6
319,5
320,6
321,5
322,6
323,6
324,7
325,7
326,6
327,6
328,6
329,5
330,5
331,5
332,6
333,6
334,6
335,5
336,5
337,6
338,5
339,5
340,6
341,7
342,7
343,8
344,8
345,8
346,8
347,8
348,7
349,6
350,5
351,6
352,7
353,8
354,8
355,8
356,8
357,8
358,8
359,8
360,8
361,8
362,8
363,8
364,8
365,8
366,8
367,8
368,8
369,8
370,8
371,7
372,7
373,6
374,6
375,7
376,7
377,6
378,6
379,5
380,5
381,5
382,5
383,5
384,5
385,6
386,5
387,5
388,5
389,5
390,5
391,6
392,6
393,6
394,7
395,6
396,5
397,5
398,6
399,6
400,7
401,7
402,6
403,5
404,5
405,5
406,5
407,6
408,7
409,8
410,7
411,6
412,6
413,6
414,6
415,7
416,7
417,8
418,8
419,8
420,7
421,7
422,8
423,7
424,6
425,6
426,6
427,7
428,6
429,6
430,5
431,5
432,5
433,6
434,7
435,8
436,8
437,8
438,8
439,7
440,6
441,5
442,6
443,7
444,7
445,6
446,5
447,5
448,6
449,7
450,7
451,7
452,7
453,7
454,7
455,7
456,6
457,5
458,6
459,6
460,7
461,7
462,7
463,7
464,7
465,7
466,7
467,7
468,7
469,7
470,7
471,7
472,7
473,7
474,7
475,7
476,7
477,6
478,6
479,6
480,6
481,5
482,5
483,5
484,6
485,7
486,6
487,6
488,7
489,6
490,6
491,5
492,6
493,5
494,5
495,6
496,5
497,6
498,6
499,5
500,6
501,5
502,6
503,6
504,6
505,6
506,6
507,7
508,6
509,6
510,6
511,5
512,5
513,5
514,5
515,6
516,5
517,6
518,6
519,6
520,6
521,6
522,6
523,6
524,5
525,5
526,5
527,5
528,6
529,5
530,6
531,6
532,6
533,7
534,6
535,6
536,7
537,7
538,6
539,7
540,7
541,6
542,5
543,5
544,6
545,6
546,6
547,6
548,6
549,5
550,6
551,6
552,7
553,6
554,6
555,6
556,6
557,6
558,7
559,7
560,6
561,7
562,7
563,7
564,8
565,7
566,7
567,6
568,6
569,6
570,6
571,6
572,5
573,5
574,4
575,4
576,5
577,5
578,4
579,3
580,2
581,3
582,3
583,4
584,3
585,4
586,5
587,4
588,4
589,4
590,5
591,5
592,4
593,4
594,4
595,4
596,5
597,4
598,4
599,4
600,4
601,5
602,4
603,4
604,4
605,4
606,4
607,4
608,4
609,4
610,5
611,5
612,5
613,4
614,5
615,5
616,5
617,4
618,5
619,5
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,4
628,4
629,5
630,5
631,5
632,4
633,4
634,3
635,3
636,2
637,3
638,4
639,5
640,6
641,6
642,5
643,5
644,6
645,6
646,6
647,5
648,4
649,3
650,3
651,3
652,3
653,2
654,3
655,3
656,3
657,4
658,3
659,4
660,4
661,4
662,3
663,2
664,2
665,1
666,1
667,2
668,1
669,2
670,3
671,3
672,3
673,3
674,2
675,2
676,2
677,2
678,2
679,2
680,2
681,1
682,2
683,2
684,3
685,3
686,3
687,4
688,3
689,4
690,4
691,4
692,4
693,4
694,3
695,3
696,4
697,3
698,4
699,3
700,3
701,4
702,3
703,4
704,4
705,5
706,5
707,5
708,5
709,5
710,5
711,5
712,5
713,5
714,5
715,5
716,5
717,4
718,4
719,4
720,5
721,5
722,4
723,4
724,3
725,2
726,1
727,2
728,2
729,1
730,1
731,0
